,title,img_path,hashtag,colors
28,독보적인 매력,./image/image_29.jpg,"['봄', '캐주얼', '긴소매 티셔츠', '부츠', '숄더백', '숏 팬츠', '스탠드오일', '인스턴트펑크', '조거쉬', '타크트로이메', '트러커 재킷', '헤인트', '셀럽템', '크롭', '레터링', '워싱', '찢청', '청청패션']","[[ 85 104 136]
 [ 31  26  33]
 [145 162 108]
 [149 111 100]
 [ 38  51 121]]"
29,워너비 스타일,./image/image_30.jpg,"['걸리시', '봄', '니트/스웨터', '락케이크', '러프넥', '마뗑킴', '미니스커트', '부츠', '숄더백', '스타디움 재킷', '오소이', '오아이오아이', '와펜', '컬러블록', '크롭', '카고', '메탈릭', '여친룩', '짧치', '셀럽템']","[[ 21  21  23]
 [ 30  50 101]
 [115  65  28]
 [ 98  99 103]
 [204 148  89]
 [ 21  28 135]
 [164 158 206]
 [ 24  47   1]
 [211 214 135]]"
30,데일리로 제격,./image/image_31.jpg,"['봄', '캐주얼', '데님 팬츠', '맨투맨/스웨트셔츠', '밀리언코르', '바우프', '숄더백', '예일', '캡/야구 모자', '크리스틴', '패션스니커즈화', '프렌다', '현킴', '후드 집업', '로고플레이', '꾸안꾸', '체커보드']","[[ 41  40  48]
 [ 86 111 142]
 [ 23  24  80]
 [119 113  91]
 [222 212 141]]"
31,누구나 좋아해,./image/image_32.jpg,"['봄', '캐주얼', '데님 팬츠', '맨투맨/스웨트셔츠', '스타디움 재킷', '아디다스', '예일', '웨이스트 백', '인스턴트펑크', '패션스니커즈화', '플레이스 스튜디오', '워싱', '크롭']","[[ 23  24  28]
 [ 76 104 126]]"
32,하나로 끝내기,./image/image_33.jpg,"['봄', '캐주얼', '23.65', '리', '에이 바이 에이', '에코백', '예일', '캔버스/단화', '캡/야구 모자', '트러커 재킷', '파르티멘토 우먼', '편안한', '셋업코디', '화사한', '꾸안꾸']","[[182 185 116]
 [ 81  76  72]
 [ 94  98  37]
 [  0   0   4]]"
33,빈티지한 멋,./image/image_34.jpg,"['레트로', '봄', '누아클레', '데님 팬츠', '마노모스', '마르디 메크르디', '블루종/MA-1', '선글라스', '숄더백', '오소이', '카디건', '커렌트', '헤인트', '힐/펌프스', '빈티지', '부츠컷', '워싱', '레더']",[[72 62 53]]
34,분위기 끝판왕,./image/image_35.jpg,"['로맨틱', '봄', '데님 팬츠', '랭5', '로울', '르쿠어에쿠어', '목걸이/펜던트', '셔츠/블라우스', '숄더백', '썸플레이스', '에잇세컨즈', '오스트카카', '환절기 코트', '힐/펌프스', '데이트', '하객', '소개팅', '부츠컷']","[[ 36  42  54]
 [114 106  87]]"
35,취향 저격,./image/image_36.jpg,"['걸리시', '봄', '귀걸이', '논논', '니트/스웨터', '레더/라이더스 재킷', '마크모크', '미니스커트', '부츠', '숄더백', '어반드레스', '어센트시티', '유즈', '플레이스 스튜디오', '짧치', '워싱', 'A라인', '대미지', '레더', '여친룩', '메탈릭']","[[94 94 86]
 [19 18 14]
 [38 58 93]]"
36,건강하게!,./image/image_37.jpg,"['봄', '스포츠', '긴소매 티셔츠', '러닝화', '뮤브', '뮬라웨어', '미즈노', '숄더백', '스포츠 스니커즈', '안다르', '조거 팬츠', '킨토', '텀블러', '트레이닝 재킷', '스포티', '요가', '애슬레저룩', '화사한', '뉴트럴톤', '편안한']","[[236 230 204]
 [147 130 104]
 [ 66  52  23]]"
37,즐거운 운동,./image/image_38.jpg,"['봄', '스포츠', '긴소매 티셔츠', '데비웨어', '러닝화', '리올그비', '만두카', '뮬라웨어', '보스턴/드럼/더플백', '수건', '스케쳐스', '스포츠 스니커즈', '씨엘코코', '트레이닝 팬츠', '후드 집업', '스포티', '요가', '애슬레저룩', '편안한']","[[ 22  24  19]
 [ 75  95 106]
 [206 123 131]
 [175 255 230]
 [235  48  91]
 [255 180 237]]"
38,유연한 동작,./image/image_39.jpg,"['봄', '스포츠', '긴소매 티셔츠', '데비웨어', '러닝화', '레깅스', '뮤브', '뮬라웨어', '반다나/헤어밴드/거트', '밸롭', '브라탑', '스트레칭/마사지', '스포츠 스니커즈', '아디다스 피트니스', '안다르', '트레이닝 재킷', '스포티', '요가', '애슬레저룩', '크롭', '모노톤', '편안한']","[[ 44  43  48]
 [113 120 126]]"
39,요가 가는 날,./image/image_40.jpg,"['봄', '스포츠', '나일론/코치 재킷', '러닝화', '레깅스', '레이나모라', '뮬라웨어', '반다나/헤어밴드/거트', '스트레칭/마사지', '스포츠 스니커즈', '아디다스', '아디다스 피트니스', '안다르', '카디건', '스포티', '요가', '애슬레저룩', '부츠컷', '로고플레이', '편안한']","[[ 25  25  25]
 [ 64  72 108]
 [255 252 255]]"
40,애슬레저 러버,./image/image_41.jpg,"['봄', '스포츠', '기타 스니커즈', '긴소매 티셔츠', '나일론/코치 재킷', '데비웨어', '레깅스', '뮬라웨어', '브라탑', '브리츠', '숄더백', '아식스', '안다르', '헤드폰', '스포티', '요가', '애슬레저룩', '편안한']","[[223 218 196]
 [ 37  35  36]
 [107 103  58]
 [138 139 144]]"
41,손이 가는 코디,./image/image_42.jpg,"['봄', '캐주얼', '가민', '디지털', '라퍼', '맨투맨/스웨트셔츠', '백팩', '시에라디자인', '식스핏', '예일', '와릿이즌', '캔버스/단화', '코튼 팬츠', '트러커 재킷', '캠퍼스', '로고플레이']","[[ 34  33  47]
 [170 147 116]
 [230 230 240]
 [116 127 147]
 [ 84  69  40]]"
42,가볍게 꾸며봐,./image/image_43.jpg,"['봄', '캐주얼', '나일론/코치 재킷', '예일', '원앤나인티', '제이다울', '척', '캔버스/단화', '캡/야구 모자', '타입서비스', '트레이닝/조거 팬츠', '호텔세리토스', '후드 티셔츠', '휴대폰 케이스', '편안한', '로고플레이', '리버서블']","[[ 31  32  36]
 [ 62  90 130]
 [197 235 210]
 [133 179 239]
 [100 104  90]]"
43,애정하는 조합,./image/image_44.jpg,"['봄', '캐주얼', '데님 팬츠', '맨투맨/스웨트셔츠', '메신저/크로스 백', '모드나인', '본챔스', '안경', '예일', '원브릴리언트', '캔버스/단화', '하 아카이브', '후드 집업', '클래이', '로고플레이']","[[ 26  33  52]
 [143 139 136]]"
44,따라 입고 싶어,./image/image_45.jpg,"['봄', '캐주얼', '1993스튜디오', '뉴발란스', '데님 팬츠', '메신저/크로스 백', '블루종/MA-1', '에이펙스 디자인', '예일', '캡/야구 모자', '토마스모어', '토피', '패션스니커즈화', '후드 티셔츠', '레터링', '컬러블록', '그래픽', '꾸안꾸', '심볼', '벌룬핏']","[[ 44  43  48]
 [104 120 133]
 [155  51  48]
 [188 165 134]
 [ 91  59  21]
 [242 141 159]]"
45,캠퍼스 코디로 딱!,./image/image_46.jpg,"['봄', '캐주얼', '네이키드앤페이머스', '니트/스웨터', '데님 팬츠', '루오에스팩', '메신저/크로스 백', '스타디움 재킷', '에이지', '예일', '캔버스/단화', '캡/야구 모자', '커버낫', '후아유', '컬러블록', '캠퍼스', '꾸안꾸']","[[ 16  15  21]
 [102  81  76]
 [ 35  57 106]
 [186 228 208]
 [116 136 173]
 [ 41  64 166]]"
46,깔끔한 출근 룩,./image/image_47.jpg,"['봄', '포멀', '구두', '니트/스웨터', '벨룻', '슈트 팬츠/슬랙스', '슈트/블레이저 재킷', '에잇세컨즈', '예일', '인스펙터', '질스튜어트 맨 액세서리', '쿼츠 아날로그', '토르소', '토트백', '단정한', '출근룩']","[[227 226 222]
 [ 23  23  23]
 [ 95  95  97]
 [169 154 115]]"
47,주말 데이트 코디,./image/image_48.jpg,"['댄디', '봄', '니트/스웨터', '데님 팬츠', '데호', '미니멀 가먼츠 랩', '블루종/MA-1', '비슬로우', '비에프엘', '숄더백', '에스티코', '쿼츠 아날로그', '키뮤어', '패션스니커즈화', '뉴트럴톤', '데이트', '미니멀']","[[126  90  74]
 [ 39  19  10]]"
48,화사하게 완성,./image/image_49.jpg,"['봄', '캐주얼', '긴소매 티셔츠', '데님 팬츠', '디미트리블랙', '리복', '마틴플랜', '벗딥', '안경', '에코백', '예일', '카디건', '패션스니커즈화', '한글안경', '파스텔', '레터링']","[[136 160 184]
 [108 115  84]
 [  7   0   0]
 [ 50  76 101]
 [253 215 240]]"
49,뉴트럴 톤 스타일링,./image/image_50.jpg,"['댄디', '봄', '게리루더', '니트/스웨터', '라퍼지스토어', '레더/라이더스 재킷', '메신저/크로스 백', '반', '뷰맵', '브랜즈', '수아레', '슈트 팬츠/슬랙스', '안경', '캔버스/단화', '뉴트럴톤', '레더', '핀턱', '와이드핏', '데이트']",[[73 59 46]]
50,청청 패션!,./image/image_51.jpg,"['봄', '스트릿', '데님 팬츠', '도하스', '돈애스크마이플랜', '메신저/크로스 백', '목걸이/펜던트', '엑시아', '위캔더스', '트러커 재킷', '후드 티셔츠', '유니크', '힙합', '심볼', '컬러포인트', '청청패션', '로고플레이', '자수', '셋업코디']","[[242 242 242]
 [134 152 172]
 [ 22  21  29]
 [ 11  97  68]
 [119 189 165]
 [  0 169 104]
 [  0  47  99]
 [128  95  18]
 [119 107 181]
 [ 96 226 104]
 [112  81  86]
 [255 225 120]
 [125  35  35]
 [249 162 134]
 [255 187 246]
 [178  56   0]
 [ 73   3  76]
 [155 169  92]
 [249 152  47]]"
51,매력 만점,./image/image_52.jpg,"['댄디', '봄', '긴소매 티셔츠', '데님 팬츠', '메신저/크로스 백', '베이직하우스', '비엔베투', '세터', '카디건', '캔버스/단화', '코앤크릿', '파인드카푸어', '팔찌', '피스워커', '데이트', '파스텔']","[[ 59  66  76]
 [ 86 134 122]]"
52,담백하게,./image/image_53.jpg,"['봄', '포멀', '구두', '넌블랭크', '니트/스웨터', '더웨더이즈어썸', '로터프', '모던경방', '슈트/블레이저 재킷', '스노우바이슨', '안경', '토트백', '단정한', '출근룩', '셋업코디', '모노톤']",[[69 69 69]]
53,활동하기 좋아,./image/image_54.jpg,"['봄', '스포츠', '근력 /유산소 용품', '긴소매 티셔츠', '나일론/코치 재킷', '데상트', '러닝화', '스포츠 스니커즈', '아디다스 피트니스', '엄브로', '이고진', '조거 팬츠', '토시/슬리브', '허그본', '스포티', '편안한', '애슬레저룩', '컬러블록', '심볼', '모노톤']",[[34 34 36]]
54,피트니스 룩,./image/image_55.jpg,"['봄', '스포츠', '기타가방', '긴소매 티셔츠', '러닝화', '레깅스', '보호대/헬멧/보호용품', '쉴드', '스포츠 스니커즈', '언더아머', '후드 집업', '피지컬가먼츠', '스포티', '편안한', '애슬레저룩', '올블랙', '심볼']","[[ 22  23  27]
 [100 101 105]]"
